ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
3758,2,7kl4,Cc1ccccc1C(=O)/C=C1\C(=O)Nc2ccc(F)cc21,21,0.857,-5.0,5.309,5.291669655233622
3762,2,7kl4,Cc1cc2c(cc1C)N/C(=C/C(=O)c1ccccc1)C(=O)N2,22,0.773,-5.4,5.098,5.179647165119648
3770,4,7kl4,COc1ccccc1C(=O)/C=C1\C(=O)Nc2ccc(F)cc21,22,0.818,-5.0,5.233,5.107194338917732
3771,3,7kl1,Cc1ccc(OCC/N=C2\C(=O)Nc3ccccc32)cc1C,22,0.727,-6.6,4.927,4.890986352086067
3783,2,7kl4,COc1ccccc1C(=O)/C=C1\C(=O)Nc2ccc(C)cc21,22,0.8640000000000001,-5.0,5.0,4.92923728376627
3795,4,7kl4,Cc1ccc(C(=O)/C=C2\Nc3ccccc3NC2=O)c(C)c1,22,0.818,-4.8,4.93,5.081986420154571
3800,3,7kl4,O=C1Nc2ccccc2/C1=C/C(=O)c1ccccc1F,20,0.8,-5.1,5.093,4.978100804269314
3810,3,7kl4,Cc1cc(Cl)ccc1N/N=C1\C(=O)Nc2ccccc21,20,0.85,-6.2,4.896,4.871887460634112
3812,1,7kl1,Cc1ccc(N/N=C2\C(=O)Nc3ccccc32)cc1C,20,0.95,-6.9,4.896,4.529764266967773
3820,5,7kl1,Cc1ccc(N/N=C2/C(=O)Nc3ccccc32)cc1Cl,20,0.85,-7.1,4.9,4.53059350848198
3821,5,7kl4,Cc1ccc2c(c1)/C(=C/C(=O)c1ccccc1)C(=O)N2,20,0.8,-5.9,4.885,4.964064354300499
3835,4,7kl1,Cc1ccc(C)c(N/N=C2/C(=O)Nc3ccccc32)c1,20,0.95,-6.6,5.0569999999999995,4.538494784355163
3836,3,7kl4,Cc1ccc(N/N=C2\C(=O)Nc3ccccc32)c(C)c1,20,0.85,-6.2,4.9319999999999995,4.912788331478834
3837,5,6vzk,Cc1c(Cl)cccc1N/N=C1/C(=O)Nc2ccccc21,20,0.85,-5.3,4.886,4.5745846555233
3844,1,6x5g,C[C@H](c1cccc(-c2ncnc3[nH]ccc23)c1)N1CCCC1,22,0.955,-6.9,4.939,4.883525629281998
3853,5,7kl4,O=C1Nc2ccccc2/C1=C/c1cccc2[nH]ccc12,20,0.8,-5.5,5.1960000000000015,5.113405799031259
3866,3,6x5g,O=c1[nH]c2ccc(NCc3cccc4ccccc34)cc2[nH]1,22,0.955,-7.1,5.255,4.853450809717178
3874,5,7kl1,c1ccc2c(Cn3nnc4ccccc43)cccc2c1,20,0.75,-6.1,4.898,4.4901207964420315
3885,5,7kl4,Nc1cccc(C2=Nc3cccc4cccc(c34)N2)c1,20,0.8,-5.5,5.023,5.1758713703155514
3886,5,6x5g,Cc1ccc(C)n1NC(=O)Cc1cccc2ccccc12,21,0.857,-5.6,4.985,4.9526060862839225
3896,3,6x5g,c1ccc2c(Cc3nc(-c4ccncc4)no3)cccc2c1,22,0.909,-6.5,5.002,4.702075179338455
3898,5,7kl1,Cc1cc(=O)[nH]c(SCc2cccc3ccccc23)n1,20,0.9,-6.6,4.926,4.3999007353782655
3901,3,7kl1,Cc1cc(CNC(=O)Cc2cccc3ccccc23)c(C)o1,22,0.818,-6.6,4.992,5.127507732629776
3903,5,7kl1,CCc1cc(=O)[nH]c(SCc2cccc3ccccc23)n1,21,0.857,-7.0,4.925,4.604492890834808
3906,1,7kl1,O=C1Nc2ccccc2/C1=C/Nc1ccc2c(c1)CCC2,21,0.905,-7.4,4.9639999999999995,5.034125468075275
3915,4,7kl1,c1ccc(-c2ccc(Nc3ncnc4[nH]ncc34)cc2)cc1,22,0.727,-5.5,4.974,4.728110887646675
3917,3,7kl1,Cc1ccnc(NC(=O)Cc2cccc3ccccc23)c1,21,0.762,-6.8,5.043,4.8407914810180666
3919,4,7kl4,COc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)cc1C,21,0.762,-5.7,5.012,5.14438701224327
3929,4,7kl4,C[C@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,20,0.75,-5.7,4.941,5.136707648992538
3935,3,7kl1,c1ccc(-c2noc(Cc3cccc4ccccc34)n2)nc1,22,0.636,-6.0,5.025,4.749292576313019
3937,5,7kl4,c1ccc2c([C@H]3NCCc4c3[nH]c3ccccc43)c[nH]c2c1,22,0.727,-4.9,4.942,4.798328219175339
3939,3,6x5g,c1ccc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)cc1,22,0.909,-7.0,4.953,4.658797970294953
3949,1,6x5g,Cc1cc(C)nc(N(C#N)Cc2cccc3ccccc23)n1,22,1.0,-7.1,4.948,4.66682849931717
3952,3,6x5g,O=C1C(=O)N(Cc2cccc3ccccc23)c2ccccc21,22,0.909,-6.5,5.207000000000002,4.629986984252931
3955,4,7kl1,O=C(Nc1ccccc1)c1cc(-c2cccc(Cl)c2)[nH]n1,21,0.857,-6.9,4.898,4.724634839177131
3957,5,7kl1,C[C@H](Cc1ccoc1)NC(=O)Cc1cccc2ccccc12,22,0.773,-6.6,4.96,4.754510990381241
3958,5,7kl1,OCc1nc2ccccc2n1Cc1cccc2ccccc12,22,0.8640000000000001,-6.6,5.079,4.491686109542846
3972,2,7kl4,Nc1cccc(C(=O)Nc2cccc(-c3nccs3)c2)c1,21,0.762,-5.9,4.981,4.799953588604927
