ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
9862,2,AFv1,Brc1cnc2nc(SCc3cccc4ccccc34)[nH]c2c1,22,0.909,-9.0,5.562,5.48455499958992
9863,4,AFv1,Cc1cccc(-c2cc(C(=O)Nc3cc(Cl)ccn3)c3ccccc3n2)c1,27,0.9259999999999999,-9.0,6.216,6.232784969717264
9864,5,AFv1,Cc1cccc(Cn2c(Cc3cccc4ccccc34)nc3ccccc32)c1,28,0.929,-9.2,6.655,6.483281968832016
9865,3,AFv1,CCOC(=O)c1cnc2c(Cl)cccc2c1Nc1cccc(Cl)c1,24,0.917,-8.8,5.577999999999999,5.926269015550613
9866,4,AFv1,COc1ccccc1-c1cnn2c(Nc3cccc(Cl)c3)cc(C)nc12,26,0.9229999999999999,-9.2,5.979,5.990134983971715
9867,3,AFv1,Cc1cc2c(cc1-c1ccnc(Nc3ccccc3)n1)NC(C)(C)C[C@H]2C,27,0.9259999999999999,-7.8,6.055,6.016420446634292
9868,4,AFv1,Cc1[nH]c2ccccc2c1C[C@H](c1ccncc1)c1c(C)[nH]c2ccccc12,28,0.9640000000000001,-9.4,6.75,6.534376427531242
9869,3,AFv1,COc1cccc(Nc2nc(-c3ccccc3)c3cc(Cl)ccc3n2)c1,26,0.8079999999999999,-8.7,6.19,5.666041197776795
9871,1,AFv1,C[C@H](c1ccccc1)n1c(Cc2cccc3ccccc23)nc2ccccc21,28,0.9640000000000001,-8.9,6.397,6.356764134138823
9872,5,AFv1,Cc1ccc(CSc2nccn3nc(-c4cccc(Cl)c4)cc23)cc1,25,0.84,-8.7,6.2079999999999975,5.648784394741056
9873,4,AFv1,Cc1cc(Nc2cccc(Cl)c2)n2ncc(-c3ccccc3Cl)c2n1,25,0.88,-8.7,5.853,6.421456768989563
9874,5,AFv1,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)NC1CCCCCC1,27,0.963,-8.7,6.372000000000001,6.18065240097046
9875,5,AFv1,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)NCCC1=CCCCC1,28,0.7859999999999999,-8.2,6.364,6.467324100375175
9876,4,AFv1,O=C1Nc2ccccc2/C1=C/c1ccc(-c2ccc(Br)cc2)o1,23,0.9129999999999999,-6.4,5.5360000000000005,5.3219873026609426
9877,1,AFv1,Cc1nn(Cc2cccc3ccccc23)c(Cl)c1/C=C/c1ccccn1,26,0.9229999999999999,-8.5,6.0089999999999995,5.9725676369071
9878,5,AFv1,Cc1cc(NC(=O)Cc2cccc3ccccc23)ccc1Br,22,0.8640000000000001,-8.9,5.5429999999999975,5.555713332660494
9879,4,AFv1,COc1ccc(-c2nc3ccccc3c(C(=O)N3CCC[C@@H](C)C3)c2C)cc1,28,0.929,-9.5,6.54,6.512549265250564
9880,4,AFv1,Cc1ccc(Cl)cc1-n1ncc2c(Nc3cccc(Cl)c3)ncnc21,25,1.0,-9.7,6.021,6.382679494380951
9881,1,AFv1,Cc1ccc(/C=C2\SC(=O)N(Cc3cccc4ccccc34)C2=O)cc1,26,0.9229999999999999,-8.3,6.303999999999999,6.05274323606491
9882,5,AFv1,Fc1ccc(Cn2c(Cc3cccc4ccccc34)nc3ccccc32)cc1,28,0.929,-9.3,6.569,6.278739655256271
9883,1,AFv1,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)NC1CCCCCCC1,28,0.893,-8.7,6.602,6.2386161406040195
9884,3,AFv1,Cc1ccccc1CSc1nccn2nc(-c3cccc(Cl)c3)cc12,25,0.84,-8.1,6.106,5.519471400737762
9886,5,AFv1,O=C(OCc1nc2ccccc2s1)c1c2c(nc3ccccc13)CCCC2,27,0.889,-9.0,6.42,6.453735878765583
9887,5,AFv1,Cc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)o1,27,0.963,-10.2,6.691,6.817246601343155
9888,2,AFv1,Fc1ccc(-c2sc(Nc3cccc(Cl)c3)nc2C(F)(F)F)cc1,24,0.958,-9.1,5.869,5.7402730705738065
9890,2,AFv1,Fc1ccccc1CSc1nccn2nc(-c3cccc(Cl)c3)cc12,25,0.88,-8.5,6.1370000000000005,5.538809513568879
9891,3,AFv1,O=C(Cc1cccc2ccccc12)Nc1nc2c(Cl)cccc2s1,24,0.875,-8.5,5.971,5.62917192196846
9892,1,AFv1,O=C1Nc2ccccc2/C1=C/c1ccc(-c2ccc(Cl)cc2Cl)o1,24,0.875,-7.4,5.9239999999999995,5.7989117553234095
9893,3,AFv1,CCOc1cc(/C=C2\C(=O)Nc3ccccc32)ccc1OCc1ccccc1,28,0.893,-7.9,6.1670000000000025,6.167672256923283
9894,5,AFv1,Cc1ccc(/C=C2/SC(=O)N(Cc3cccc4ccccc34)C2=O)cc1,26,0.9229999999999999,-9.1,6.362,6.0482292885780335
9896,2,AFv1,Cc1ccc(C(=O)NC[C@H](C)Cc2cccc3ccccc23)c(Cl)c1,25,0.96,-8.1,5.914,6.0348703145384786
9897,5,AFv1,O=C(Nc1ccccc1Cl)c1cccnc1Nc1cccc(Cl)c1,24,0.833,-8.7,5.76,5.717030780613422
9898,5,AFv1,O=C(Nc1cccc(-c2nc3cccnc3s2)c1)c1cccc(Cl)c1,25,0.92,-7.0,5.8020000000000005,6.17566995215416
9899,5,AFv1,Cc1ccc(-n2ncc3c(Nc4cccc5ccccc45)ncnc32)c(C)c1,28,0.7859999999999999,-8.1,6.7570000000000014,6.6454045034647
9900,5,AFv1,Cc1cc(O[C@@H](C)C(=O)NCc2cccc3ccccc23)cc(C)c1Cl,26,0.846,-8.5,5.859,5.641192438840866
9901,2,AFv1,Cc1nc(-c2ccc(C(=O)NCc3cccc4ccccc34)cc2)c(C)s1,27,0.889,-7.8,6.483,6.517579705446958
9902,5,AFv1,C[C@@H](Oc1ccc(C(C)(C)C)cc1)C(=O)NCc1cccc2ccccc12,27,0.889,-9.1,6.345,5.869453461170196
9903,5,AFv1,O=C(CCc1cccc2ccccc12)Nc1ccc(Br)cc1F,23,0.9570000000000001,-7.9,5.751,5.873969850897789
9904,2,AFv1,Cc1nn(Cc2cccc3ccccc23)c(C)c1NC(=O)C1CCCCC1,27,0.852,-9.2,6.315,6.053942086696625
9905,5,AFv1,Cc1cccc(C)c1NC(=O)c1cccnc1Nc1cccc(Cl)c1,25,0.92,-8.8,5.829,5.415884111166
9906,2,AFv1,Cc1ccc(C(C)C)c(O[C@H](C)C(=O)NCc2cccc3ccccc23)c1,27,0.9259999999999999,-10.7,6.47,6.110444815158844
9908,2,AFv1,Cc1nn(Cc2cccc3ccccc23)c(C)c1NC(=O)c1cccs1,26,0.846,-9.0,5.941,5.958828149721026
9909,4,AFv1,O=C(OCc1c(Cl)cccc1Cl)c1c2c(nc3ccccc13)CCC2,25,0.88,-8.8,6.1720000000000015,6.2110745326876655
9910,2,AFv1,COc1cc(NC(=O)CCc2cccc3ccccc23)c(OC)cc1Cl,26,0.9229999999999999,-10.0,5.68,5.155234627723694
9911,3,AFv1,COc1ccc(Cl)cc1C(=O)NC[C@H](C)Cc1cccc2ccccc12,26,1.0,-10.0,6.084,5.830502697467804
9912,3,AFv1,Cc1cc(/C=C2/C(=O)Nc3ccccc32)c(C)n1-c1cccc2ccccc12,28,0.893,-9.6,6.654,6.704430260598659
9913,4,AFv1,CCCOC(=O)c1c2c(nc3ccccc13)/C(=C\c1ccc(OC)cc1)CC2,28,0.857,-9.1,6.001,6.004155997721479
9914,4,AFv1,CCCOC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccc(OC)cc1)CC2,28,0.893,-8.9,6.0,5.965355738997459
9915,3,AFv1,CCOC(=O)C(C)(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,27,0.889,-9.1,6.175,6.060415330529213
9916,3,AFv1,O=C(CCc1cccc2ccccc12)Nc1ccc(Br)cc1,22,0.909,-8.4,5.565,5.683115708231926
