lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL2006778,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,CNC(=O)C=Cc1cnc(N)c2c(-c3cc(F)c4[nH]c(C)cc4c3)csc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1996979,CHEMBL4121,"CaM kinase II beta",Q13554,6,Ki,809235,8,O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1c(F)cccc1F,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1990496,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,Cn1c(NCC(N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2002479,CHEMBL4121,"CaM kinase II beta",Q13554,5.3,Ki,809235,8,NCCCOc1cc2c(c(-c3ccc(Nc4nc5ccc(Cl)cc5o4)cc3)c1)CNC2=O,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1982992,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,Oc1cccc(Nc2ncnc3scc(Cl)c23)c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1980896,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,Nc1ncnc2sc(Br)c(-c3ccc(NC(=O)Cc4cccc(Cl)c4)cc3)c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1970104,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1967302,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,NC(COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1)Cc1c[nH]c2ccccc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2004716,CHEMBL4121,"CaM kinase II beta",Q13554,5.5,Ki,809235,8,CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1985406,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,CCCC(=O)Nc1n[nH]c2ccc(-c3cccc(F)c3F)cc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
